,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
153,154,0.995010269,[1.01943585],0.706,0.4195,0.1365,0,0,0.64903532,0.352290597,0.138363964,0.038311756,0.008170173
154,155,0.986037212,[1.03685671],0.70825,0.4185,0.1265,0,0,0.645232739,0.35431058,0.142744727,0.041323159,0.00897061
155,156,0.984606187,[1.13669478],0.707,0.41475,0.13225,0,0,0.665125557,0.367872287,0.160037648,0.056708596,0.014681776
156,157,1.011703681,[0.96315726],0.71675,0.42675,0.1395,0,0,0.635996203,0.333890993,0.124069761,0.033535013,0.005962474
157,158,1.006780867,[0.98562918],0.71875,0.42875,0.12725,0,0,0.651107939,0.346893309,0.127570149,0.03467857,0.007087469
158,159,0.988602425,[1.04280419],0.71575,0.41575,0.13275,0,0,0.65165544,0.34567865,0.141036354,0.047086336,0.011007149
159,160,1.021342925,[1.0909251],0.71125,0.43175,0.13825,0,0,0.664014225,0.367761469,0.151731714,0.045372339,0.011171524
160,161,0.992273202,[1.03590312],0.71325,0.42175,0.13025,0,0,0.660414338,0.361141979,0.138905799,0.038497045,0.006929613
161,162,1.015178568,[1.0010125],0.71725,0.42875,0.135,0,0,0.645754345,0.351004599,0.137455783,0.032488369,0.006327994
162,163,0.991284739,[0.98512676],0.70325,0.417,0.13775,0,0,0.65166117,0.342419426,0.130134006,0.035297753,0.004689887
163,164,1.004173721,[1.01812775],0.70775,0.4285,0.131,0,0,0.648986795,0.349015832,0.136749494,0.039612353,0.006920186
164,165,0.993241306,[1.10076813],0.698,0.41875,0.13775,0,0,0.657437974,0.362876692,0.148893566,0.052062783,0.014134363
165,166,0.986519403,[0.99721745],0.69975,0.42425,0.1305,0,0,0.635739763,0.344823325,0.135772531,0.035637127,0.008042711
166,167,0.98097097,[1.0306938],0.706,0.411,0.133,0,0,0.661555149,0.357852153,0.139445259,0.040162157,0.004700829
167,168,1.008054068,[0.96507311],0.712,0.42425,0.13425,0,0,0.645119545,0.340036168,0.12069654,0.031049442,0.005444385
168,169,0.972163156,[1.02490754],0.707,0.406,0.127,0,0,0.645081544,0.350681675,0.141725002,0.03921173,0.009363168
169,170,1.002325167,[1.03609622],0.70675,0.42675,0.13775,0,0,0.667046093,0.36313136,0.141676322,0.037260351,0.004424189
170,171,0.991083462,[0.9884909],0.69475,0.422,0.12925,0,0,0.643266378,0.35291739,0.132861154,0.029981772,0.005722747
171,172,0.99082746,[1.0127363],0.71025,0.4145,0.13525,0,0,0.651773562,0.358898308,0.131375084,0.034606261,0.007477821
172,173,0.970377633,[0.98044539],0.70025,0.4115,0.13175,0,0,0.643171923,0.330801411,0.129968027,0.038730895,0.005150347
173,174,1.003655823,[1.00779178],0.72,0.4265,0.1245,0,0,0.657271367,0.355298872,0.136652076,0.034507218,0.003308488
174,175,0.981247293,[0.98931773],0.7005,0.41275,0.13025,0,0,0.645294434,0.34561552,0.12753426,0.03732801,0.004615826
175,176,0.978287652,[1.03949916],0.70575,0.4155,0.12125,0,0,0.667852014,0.361458496,0.139987466,0.03825645,0.007281285
176,177,1.019630114,[1.01137199],0.71825,0.4295,0.13925,0,0,0.659374385,0.350353743,0.131931353,0.03674311,0.008706475
177,178,0.991661322,[1.07366175],0.698,0.41175,0.139,0,0,0.655567005,0.363678576,0.150081933,0.048437732,0.009509668
178,179,1.007418981,[1.02849245],0.7025,0.42425,0.13325,0,0,0.662079532,0.358753982,0.136775141,0.038886896,0.005896928
179,180,0.958648328,[1.01872771],0.69725,0.413,0.1175,0,0,0.639578414,0.357183668,0.142147366,0.035467249,0.006719124
180,181,1.022381305,[1.0028637],0.7105,0.43125,0.148,0,0,0.647788323,0.353492702,0.140342259,0.031573428,0.003410545
181,182,1.007483823,[1.06445458],0.7115,0.4265,0.13425,0,0,0.665803933,0.37012041,0.141992654,0.041413947,0.010127298
182,183,1.011952738,[1.00080457],0.71475,0.43075,0.1375,0,0,0.651709272,0.345838937,0.140598209,0.033505612,0.006480679
183,184,1.009444248,[1.15177066],0.714,0.4345,0.1265,0,0,0.686779923,0.406110519,0.165895498,0.049280186,0.007142983
184,185,1.007458891,[1.03272796],0.71975,0.43,0.1325,0,0,0.637822809,0.351165154,0.150528529,0.039276822,0.007663358
185,186,1.005381052,[0.98969814],0.70025,0.435,0.137,0,0,0.655669042,0.350964602,0.1275468,0.031387475,0.005796906
186,187,1.002896847,[0.98058837],0.71625,0.4155,0.1345,0,0,0.636038407,0.337923094,0.136936394,0.034028015,0.004374856
187,188,1.002328539,[1.01758581],0.706,0.426,0.13425,0,0,0.654801598,0.358897848,0.12764372,0.03708294,0.008380565
188,189,1.009997404,[1.10414209],0.71175,0.43275,0.1355,0,0,0.656671918,0.369051277,0.152696115,0.04938086,0.014711729
189,190,0.989353919,[0.93198426],0.70825,0.4235,0.12375,0,0,0.651777534,0.338007928,0.116538586,0.025715167,0.003135105
190,191,1.008693083,[1.02997619],0.7135,0.4225,0.1365,0,0,0.669503719,0.364729136,0.133751101,0.032507631,0.008772692
191,192,0.991289637,[0.99491099],0.70675,0.41925,0.13575,0,0,0.655670864,0.353491532,0.139410768,0.031000053,0.001373183
192,193,0.984629523,[1.00372489],0.7125,0.4205,0.135,0,0,0.652328558,0.354608682,0.135104026,0.03099259,0.007968668
193,194,1.008263359,[0.94849457],0.70275,0.43375,0.13375,0,0,0.652224742,0.343922493,0.122316103,0.024325216,0.003711323
194,195,1.017125775,[1.14264778],0.70575,0.43125,0.142,0,0,0.704905707,0.403916204,0.154075488,0.037534724,0.015441377
195,196,0.988851234,[1.01814633],0.7155,0.41375,0.13225,0,0,0.685900609,0.370106389,0.133572349,0.034239805,0
196,197,0.985366691,[0.91147958],0.7075,0.41825,0.13,0,0,0.655635184,0.338903143,0.117417904,0.008674284,0.002140078
197,198,0.989413536,[0.93788728],0.70775,0.41575,0.13375,0,0,0.674890819,0.36908731,0.112516595,0.015092025,0
198,199,0.985067626,[0.90770654],0.712,0.41575,0.13325,0,0,0.686468618,0.361125801,0.114918217,0.005210084,0
199,200,1.005286343,[1.00528634],0.7175,0.417,0.139,0,0,0.7175,0.417,0.139,0,0
