,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
108,109,0.981289422,[2.31923512],0.61575,0.31325,0.1285,0.04425,0.01325,0.726222112,0.486836766,0.306970292,0.184018176,0.103236895
109,110,0.976148274,[2.19456112],0.613,0.31875,0.12475,0.042,0.0105,0.713079115,0.469673176,0.289223126,0.169583357,0.094202171
110,111,0.95297399,[2.31431896],0.5955,0.30125,0.12475,0.0435,0.01225,0.713133613,0.477827054,0.296257855,0.17455535,0.100773414
111,112,1.00768473,[2.34442009],0.61725,0.317,0.12475,0.04675,0.0165,0.723132399,0.485576876,0.305449049,0.183137553,0.10423038
112,113,0.981021583,[2.22637187],0.616,0.3115,0.127,0.0395,0.0135,0.724508398,0.484464656,0.29994016,0.174975179,0.0956394
113,114,1.030964665,[2.4029393],0.6345,0.3305,0.14175,0.047,0.0125,0.731207768,0.498361304,0.313045194,0.186525182,0.106219104
114,115,1.018301745,[2.25686139],0.61725,0.31975,0.1355,0.048,0.01425,0.723750692,0.488747817,0.303463022,0.178033523,0.097063665
115,116,0.985273316,[2.25385078],0.615,0.3105,0.1365,0.0445,0.00925,0.716107147,0.473347825,0.297265018,0.17231475,0.096017095
116,117,1.029347869,[2.27717103],0.62125,0.3245,0.14025,0.05075,0.0135,0.727106307,0.483496711,0.299919298,0.177779202,0.099992433
117,118,1.022458536,[2.21870312],0.624,0.32475,0.13525,0.0505,0.0125,0.725956889,0.479892588,0.28878303,0.167751449,0.096153902
118,119,0.989161269,[2.20168034],0.6185,0.32075,0.13225,0.04425,0.0095,0.724234665,0.47910637,0.29774185,0.171541411,0.091841272
119,120,1.011632282,[2.45247091],0.618,0.31825,0.13125,0.04675,0.013,0.72821975,0.492749412,0.31367115,0.192264853,0.109920409
120,121,1.026809553,[2.25856856],0.6165,0.32525,0.13375,0.0505,0.0155,0.720345778,0.48063971,0.29689476,0.171277264,0.094921268
121,122,1.023665338,[2.43303313],0.61375,0.32425,0.13575,0.04575,0.0145,0.726309539,0.487508719,0.311024017,0.189411294,0.110304871
122,123,1.03617061,[2.25158939],0.62925,0.3255,0.14375,0.05,0.01075,0.717268007,0.476413802,0.293470155,0.174917815,0.093965391
123,124,0.99034809,[2.38870038],0.61275,0.31225,0.13725,0.04725,0.0105,0.727735667,0.483172156,0.30408055,0.18072005,0.103383718
124,125,0.917914923,[2.15496756],0.60725,0.292,0.114,0.03625,0.0085,0.705546109,0.455302685,0.275919523,0.158467839,0.090122959
125,126,1.028078861,[2.20910501],0.62425,0.32,0.134,0.0495,0.0125,0.720772664,0.473374666,0.290097525,0.161073437,0.087977945
126,127,1.020173563,[2.27777057],0.61925,0.319,0.139,0.05075,0.015,0.726425398,0.490233747,0.303832661,0.178745971,0.099342161
127,128,1.029825608,[2.27241504],0.62375,0.327,0.1405,0.0475,0.0115,0.723363047,0.479992044,0.302030863,0.178537387,0.0997877
128,129,0.997439688,[2.34541005],0.61875,0.3165,0.1295,0.04625,0.01475,0.731673818,0.49284542,0.313926073,0.185424752,0.106513301
129,130,0.979046907,[2.35732112],0.6175,0.32075,0.132,0.03825,0.0115,0.729075853,0.499533218,0.31605203,0.185849394,0.107977732
130,131,0.982066311,[2.17516911],0.6155,0.31025,0.1245,0.04525,0.01475,0.720903623,0.477098545,0.29272114,0.167575005,0.089660282
131,132,1.002186893,[2.17626265],0.6185,0.315,0.133,0.04875,0.013,0.722027,0.478484941,0.292962978,0.173591788,0.097205746
132,133,0.992191397,[2.11159014],0.62025,0.317,0.13175,0.043,0.013,0.71357369,0.470951468,0.287254237,0.16604939,0.091268022
133,134,1.034810905,[2.29013206],0.621,0.32425,0.1435,0.05225,0.01325,0.728482489,0.487767493,0.304924069,0.176946997,0.097234787
134,135,0.944409174,[2.35469316],0.60625,0.30675,0.123,0.042,0.0095,0.724635346,0.481323338,0.3042218,0.178001382,0.097069013
135,136,0.996205031,[2.40027524],0.61375,0.318,0.13125,0.044,0.013,0.729914552,0.502309733,0.322426082,0.194771279,0.107952117
136,137,0.982891735,[2.24848445],0.61575,0.32,0.13,0.0425,0.00925,0.717459548,0.47768668,0.298116454,0.17353686,0.096238761
